STATIONID	YEAR	MONTH	DAY	HOUR	MINUTE	PRECIPITATION
STABG	2000	6	13	0	0	0
STABG	2000	6	14	0	0	0
STABG	2000	6	15	0	0	0
STABG	2000	6	16	0	0	0
STABG	2000	6	17	0	0	0
STABG	2000	6	18	0	0	0
STABG	2000	6	19	0	0	0
STABG	2000	6	20	0	0	0.03
STABG	2000	6	21	0	0	0
STABG	2000	6	22	0	0	0.32
STABG	2000	6	23	0	0	0
STABG	2000	6	24	0	0	0
STABG	2000	6	25	0	0	1.14
STABG	2000	6	26	0	0	1.62
STABG	2000	6	27	0	0	0.05
STABG	2000	6	28	0	0	0.16
STABG	2000	6	29	0	0	0
STABG	2000	6	30	0	0	0.02
STABG	2000	7	1	0	0	0.73
STABG	2000	7	2	0	0	1.75
STABG	2000	7	3	0	0	0.52
STABG	2000	7	4	0	0	0.91
STABG	2000	7	5	0	0	0.02
STABG	2000	7	6	0	0	0
STABG	2000	7	7	0	0	0
STABG	2000	7	8	0	0	1.29
STABG	2000	7	9	0	0	0.53
STABG	2000	7	10	0	0	0
STABG	2000	7	11	0	0	0.01
STABG	2000	7	12	0	0	1.23
STABG	2000	7	13	0	0	0
STABG	2000	7	14	0	0	0.03
STABG	2000	7	15	0	0	0.31
STABG	2000	7	16	0	0	0.02
STABG	2000	7	17	0	0	0.03
STABG	2000	7	18	0	0	0
STABG	2000	7	19	0	0	1.78
STABG	2000	7	20	0	0	0.17
STABG	2000	7	21	0	0	0
STABG	2000	7	22	0	0	0.03
STABG	2000	7	23	0	0	0
STABG	2000	7	24	0	0	0.01
STABG	2000	7	25	0	0	0.96
STABG	2000	7	26	0	0	0
STABG	2000	7	27	0	0	0.15
STABG	2000	7	28	0	0	0.08
STABG	2000	7	29	0	0	0.32
STABG	2000	7	30	0	0	0
STABG	2000	7	31	0	0	0.28
STABG	2000	8	1	0	0	0
STABG	2000	8	2	0	0	0.71
STABG	2000	8	3	0	0	0.22
STABG	2000	8	4	0	0	0.39
STABG	2000	8	5	0	0	0
STABG	2000	8	6	0	0	0
STABG	2000	8	7	0	0	0.23
STABG	2000	8	8	0	0	0
STABG	2000	8	9	0	0	0
STABG	2000	8	10	0	0	0
STABG	2000	8	11	0	0	0
STABG	2000	8	12	0	0	0
STABG	2000	8	13	0	0	0
STABG	2000	8	14	0	0	0
STABG	2000	8	15	0	0	0.37
STABG	2000	8	16	0	0	0
STABG	2000	8	17	0	0	0
STABG	2000	8	18	0	0	0
STABG	2000	8	19	0	0	0
STABG	2000	8	20	0	0	0
STABG	2000	8	21	0	0	0
STABG	2000	8	22	0	0	0
STABG	2000	8	23	0	0	0.73
STABG	2000	8	24	0	0	0.03
STABG	2000	8	25	0	0	0
STABG	2000	8	26	0	0	0
STABG	2000	8	27	0	0	0.15
STABG	2000	8	28	0	0	0.29
STABG	2000	8	29	0	0	0.05
STABG	2000	8	30	0	0	0
STABG	2000	8	31	0	0	0.6
STABG	2000	9	1	0	0	0.03
STABG	2000	9	2	0	0	0
STABG	2000	9	3	0	0	0
STABG	2000	9	4	0	0	0
STABG	2000	9	5	0	0	0
STABG	2000	9	6	0	0	0.27
STABG	2000	9	7	0	0	0.03
STABG	2000	9	8	0	0	0.07
STABG	2000	9	9	0	0	1
STABG	2000	9	10	0	0	0
STABG	2000	9	11	0	0	0.01
STABG	2000	9	12	0	0	0
STABG	2000	9	13	0	0	0
STABG	2000	9	14	0	0	0
STABG	2000	9	15	0	0	0
STABG	2000	9	16	0	0	0.08
STABG	2000	9	17	0	0	0.11
STABG	2000	9	18	0	0	1.19
STABG	2000	9	19	0	0	1.87
STABG	2000	9	20	0	0	0.22
STABG	2000	9	21	0	0	0.17
STABG	2000	9	22	0	0	0
STABG	2000	9	23	0	0	0
STABG	2000	9	24	0	0	0
STABG	2000	9	25	0	0	0
STABG	2000	9	26	0	0	0.07
