STATIONID	YEAR	MONTH	DAY	HOUR	MINUTE	PRECIPITATION
STAPB	2000	11	24	0	0	0
STAPB	2000	11	25	0	0	0
STAPB	2000	11	26	0	0	0
STAPB	2000	11	27	0	0	0.7
STAPB	2000	11	28	0	0	0.02
STAPB	2000	11	29	0	0	0
STAPB	2000	11	30	0	0	0.02
STAPB	2000	12	1	0	0	0
STAPB	2000	12	2	0	0	0
STAPB	2000	12	3	0	0	0
STAPB	2000	12	4	0	0	0
STAPB	2000	12	5	0	0	0
STAPB	2000	12	6	0	0	0.02
STAPB	2000	12	7	0	0	0.48
STAPB	2000	12	8	0	0	0.02
STAPB	2000	12	9	0	0	0
STAPB	2000	12	10	0	0	0
STAPB	2000	12	11	0	0	0.92
STAPB	2000	12	12	0	0	0.02
STAPB	2000	12	13	0	0	0.06
STAPB	2000	12	14	0	0	0.01
STAPB	2000	12	15	0	0	0.04
STAPB	2000	12	16	0	0	0
STAPB	2000	12	17	0	0	0
STAPB	2000	12	18	0	0	0
STAPB	2000	12	19	0	0	0
STAPB	2000	12	20	0	0	0
STAPB	2000	12	21	0	0	0
STAPB	2000	12	22	0	0	0
STAPB	2000	12	23	0	0	0
STAPB	2000	12	24	0	0	0
STAPB	2000	12	25	0	0	0
STAPB	2000	12	26	0	0	0
STAPB	2000	12	27	0	0	0.7
STAPB	2000	12	28	0	0	0.04
STAPB	2000	12	29	0	0	0.02
STAPB	2000	12	30	0	0	0
STAPB	2000	12	31	0	0	0
STAPB	2001	1	1	0	0	0
STAPB	2001	1	2	0	0	0
STAPB	2001	1	3	0	0	0.6
STAPB	2001	1	4	0	0	0.08
STAPB	2001	1	5	0	0	0.01
STAPB	2001	1	6	0	0	0
STAPB	2001	1	7	0	0	0
STAPB	2001	1	8	0	0	0
